,Unnamed: 0,userId,movieId
0,5042,33,43
1,39791,274,3535
2,73488,474,1323
3,14739,93,349
4,66571,428,4030
5,71041,453,3240
6,94320,599,8623
7,14742,93,362
8,19987,132,904
9,63453,414,3581
10,35029,234,2140
11,25943,179,736
12,83768,534,8368
13,36940,249,57368
14,5282,35,231
15,27596,187,1215
16,12089,74,3949
17,43952,293,2411
18,5529,39,2391
19,98077,606,5445
20,98162,606,6578
21,8701,59,2174
22,42055,287,3578
23,20682,136,328
24,88251,570,345
25,92139,596,163639
26,41900,286,1721
27,61894,410,1207
28,11096,68,6297
29,89844,582,115617
30,66781,431,435
31,84681,546,2531
32,29570,202,1580
33,84985,552,1729
34,34332,232,8946
35,99461,608,8972
36,56882,380,12
37,73663,474,2020
38,11143,68,7153
39,82218,522,329
40,59109,385,1199
41,24609,170,296
42,97277,605,7380
43,24917,177,158
44,53887,356,1246
45,21341,140,2861
46,98967,608,1833
47,53879,356,1198
48,758,6,450
49,49258,318,4995
50,85611,555,2321
51,34598,232,53519
52,93344,599,2247
53,6122,42,2372
54,24266,168,1252
55,51768,334,38038
56,23471,160,2118
57,8704,59,2427
58,15708,103,2409
59,97828,606,2908
60,87617,564,80549
61,82589,524,1225
62,41255,280,344
63,13240,84,922
64,84003,534,99114
65,23353,160,1199
66,24367,169,783
67,9650,64,2278
68,74185,474,3992
69,94452,599,31367
70,70729,452,1722
71,65276,418,88129
72,72179,465,454
73,7363,50,128360
74,8464,57,3361
75,24077,167,586
76,80381,509,39
77,56133,372,14
78,84948,552,508
79,12110,74,5893
80,51839,336,47
81,93206,599,1721
82,87675,564,138036
83,89715,580,37386
84,16484,105,7143
85,70012,448,91976
86,87938,567,74791
87,18720,119,122882
88,21996,144,380
89,64122,414,6331
90,82425,523,4014
91,93385,599,2371
92,872,6,1082
93,46360,305,62376
94,44882,298,5941
95,2904,19,3424
96,78512,489,296
97,33914,232,303
98,83592,534,231
99,4260,28,924
100,2136,18,69122
101,77950,484,1
102,35532,239,33679
103,45238,298,74452
104,30779,216,1278
105,26531,182,2769
106,34071,232,4019
107,27150,184,79132
108,68234,439,7153
109,95319,600,1333
110,63208,414,2716
111,55311,367,3286
112,44137,294,1395
113,50954,330,32
114,77920,483,101283
115,53615,354,597
116,43586,292,1968
117,67036,432,74458
118,39780,274,3452
119,38469,264,1196
120,46461,305,89118
121,70727,452,1687
122,93817,599,4148
123,95360,600,1701
124,49883,319,69844
125,54070,356,40819
126,50584,326,73344
127,58862,383,539
128,64142,414,6442
129,36204,247,1196
130,58123,381,364
131,67076,433,91529
132,83352,528,1291
133,5186,33,2943
134,70491,448,158872
135,23271,160,364
136,8605,58,551
137,98904,608,1466
138,17792,111,128914
139,75508,477,810
140,39808,274,3697
141,53803,354,52722
142,68996,448,2247
143,59444,387,1261
144,21784,141,5418
145,91501,594,39
146,74736,474,7069
147,64338,414,8873
148,19130,123,2329
149,27472,186,3175
150,3903,24,32
151,30160,210,135887
152,33761,230,595
153,69274,448,3979
154,84647,545,63853
155,22168,147,2302
156,75735,477,3608
157,24181,167,5218
158,84954,552,597
159,12384,77,1196
160,3174,20,4990
161,76682,480,4571
162,16955,106,59501
163,47525,307,27838
164,53157,351,72998
165,18906,122,2232
166,77951,484,2
167,72286,466,318
168,38792,266,2195
169,82921,525,33794
170,25416,177,7154
171,3082,20,3034
172,33417,226,5679
173,87522,563,126548
174,26218,182,849
175,99022,608,2188
176,81020,512,317
177,74860,474,7981
178,15329,100,539
179,34854,233,55765
180,15526,102,223
181,24918,177,161
182,7721,51,5620
183,31875,219,6537
184,16963,106,86332
185,77151,482,2688
186,10869,68,3257
187,18143,114,122882
188,53346,352,46723
189,225,1,3729
190,20727,137,110
191,45182,298,64285
192,71642,462,1270
193,34241,232,6951
194,20254,132,50872
195,78643,489,1271
196,78819,489,3633
197,94561,599,45499
198,43319,290,1344
199,76837,480,7161
200,79234,491,356
201,66679,429,222
202,5972,42,612
203,56855,379,296
204,18179,115,1196
205,83005,525,71462
206,78164,484,8807
207,24880,176,349
208,96034,602,329
209,13671,89,5480
210,63346,414,3186
211,25644,177,65585
212,98895,608,1391
213,80530,509,5952
214,81011,512,185
215,28820,199,3998
216,90795,590,2078
217,28944,200,150
218,57953,380,100498
219,12482,79,858
220,66118,425,4995
221,53734,354,3996
222,20584,135,3812
223,84370,541,377
224,49827,318,143525
225,59925,387,5481
226,86629,561,608
227,35634,240,317
228,70196,448,108156
229,54262,357,1381
230,34394,232,33164
231,3440,21,49272
232,86833,561,4121
233,5264,34,8957
234,24469,169,3967
235,315,4,232
236,18828,121,595
237,41118,279,2918
238,38419,263,7090
239,43927,292,122882
240,78057,484,2581
241,16288,105,1272
242,80040,502,520
243,62194,412,1923
244,14527,91,3698
245,35975,246,224
246,9692,64,2770
247,43498,292,111
248,5170,33,2355
249,98076,606,5434
250,98417,606,47629
251,61709,408,136020
252,2146,18,72998
253,67520,437,454
254,24272,168,1304
255,57513,380,6695
256,59959,387,6123
257,61281,402,165
258,51845,336,168
259,41004,276,728
260,48259,313,260
261,21067,139,91529
262,82803,525,4366
263,28043,193,908
264,4377,28,2952
265,14592,91,4878
266,28165,195,1863
267,58696,382,7444
268,71295,456,1167
269,65617,421,2966
270,43491,292,1
271,77372,483,1266
272,81724,517,3176
273,58451,381,36517
274,63607,414,4091
275,74457,474,5504
276,55110,365,104879
277,49828,318,143859
278,49210,318,3819
279,66066,425,2701
280,76855,480,7618
281,75837,477,6377
282,11365,68,54999
283,39863,274,4040
284,96169,603,290
